episode,reward,portfolio_value
54,-13.0229699474104,105697.03899634676
55,-12.959769723682966,106375.16562485625
56,-13.014288543508727,108366.90754348926
57,-13.025618434945532,102539.00275055737
58,-13.039409853744537,103272.37773460621
59,-13.06591475276366,105923.75003377856
60,-13.069118494004927,106801.63778579241
61,-13.134108873427131,103561.87618496834
62,-12.886348824037986,102270.66162771329
63,-13.037636690553892,106405.06783142195
64,-13.099590851798867,109300.67352011664
65,-12.997507378186201,106057.18196654509
66,-12.929493032474934,102018.60571322979
67,-12.979926805847008,105225.02974719243
68,-13.079849890262054,106200.03448807214
69,-12.958983876941659,106419.27539889993
70,-12.965887196681457,102518.07954306403
71,-12.97787664237448,103493.50670070929
72,-12.953010951224353,103299.21726580361
73,-13.0447872356847,101077.2293044537
74,-13.043451604294548,102488.16294876997
75,-13.114391584373271,105156.07455258713
76,-12.973104765997432,102159.48377619311
77,-13.062792709157836,103023.22953466601
78,-12.944276415955766,103663.05047608822
79,-13.051184216991697,108228.35224969551
80,-13.02317293760327,107801.7545287101
81,-13.044337296091742,104825.82916685817
82,-12.903219381102748,105323.94264969428
83,-12.9903300155808,101004.61845046218
84,-12.978253759634466,104729.38797594824
85,-13.016378189503579,103962.91337878372
86,-13.048057162691176,103856.92286244604
87,-12.983282729495798,105018.34768380795
88,-12.961009997703147,109038.8830192872
89,-12.94970943398804,110083.59453843703
90,-12.920826180548158,102654.17220534389
91,-13.001100501527478,101396.90201415379
92,-13.026152653776684,104848.47367164177
93,-13.037218063964396,102710.05301737777
94,-12.946639736634468,101708.40400487662
95,-13.05631126186135,104832.96455679448
96,-12.980076266031276,102593.32783321533
97,-12.88190821281141,103083.07153308201
98,-13.020723212466448,102939.48730305774
99,-13.106797466877147,105499.20613169462
100,-13.040312359010906,108901.23157732771
101,-12.90269504060173,102529.99658780142
102,-12.91297355803287,103361.56772738048
103,-13.00396137453773,106571.19560543135
104,-13.038495136424185,102870.02146389043
105,-12.993436378837142,99678.418995305
106,-12.986620370765165,105235.94800678371
107,-13.110845547114764,107052.92861479422
